# i|vi|en|ko   (chỉ liệt kê các dòng cần dịch; ô rỗng = giữ nguyên chuỗi gốc)
345|Thuế & VAS|Tax & VAS|세무 & VAS
346|Work Permit & TRC||워크퍼밋 & TRC
347|Mô tả dự án / câu hỏi|Project description / questions|프로젝트 설명 / 문의
348|vd. Chúng tôi dự kiến mở văn phòng IT tại TP.HCM trong quý III...|e.g. We plan an IT office in HCMC in Q3...|예: 3분기에 호치민에 IT 사무소 개설을 계획하고 있습니다...
349|Gửi yêu cầu tư vấn|Send consultation request|상담 신청 보내기
350|Khi gửi biểu mẫu, bạn đồng ý với chính sách bảo mật của chúng tôi.|By submitting the form you accept our privacy policy.|양식을 제출하면 개인정보 처리방침에 동의하는 것으로 간주됩니다.
351|Đối tác tăng trưởng của bạn tại Hàn Quốc & Việt Nam.||한국과 베트남에서 함께 성장하는 파트너.
352|HÀN QUỐC → DAON → VIỆT NAM — một luồng kết nối duy nhất.|KOREA → DAON → VIETNAM — one connected flow.|한국 → DAON → 베트남 — 하나로 연결된 흐름.
353|||
354|Văn phòng||사무실
355|Công ty||회사
356|Liên hệ||문의
357|Ngôn ngữ||언어
358|Việt Nam / TP. Hồ Chí Minh||베트남 / 호치민시
359|Mạng lưới||네트워크
360|Mạng lưới KOTRA||KOTRA 네트워크
361|Thành viên KORCHAM|KORCHAM member|KORCHAM 회원사
362|Đối tác Shinhan / Woori||신한 / 우리은행 파트너
363|© 2026 DAON Market Entry Partners Co., Ltd. · HÀN QUỐC → DAON → VIỆT NAM||© 2026 DAON Market Entry Partners Co., Ltd. · 한국 → DAON → 베트남
364|Chính sách bảo mật|Privacy policy|개인정보 처리방침
365|Điều khoản|Terms of service|이용약관
366|NDA chuẩn||표준 NDA
